,track_id,track_name,artist_name,album_name,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
10,2grS8y9w2vVp7sDJ3RnSx9,Cynical,"twocolors, Safri Duo, Chris de Sarandy",Cynical,2023-06-30,191365,29,0.69,0.84,11,-6.947,1,0.0573,0.0268,3.06e-05,0.363,0.493,129.935
11,7zyvQ8sb72g4RuwBpcuGUP,Home Alone (with Marnik),"Naeleck, Vini Vici, Marnik",Home Alone (with Marnik),2023-10-27,128031,67,0.591,0.873,4,-4.417,1,0.0859,0.378,6.73e-05,0.142,0.61,149.958
12,0zKbDrEXKpnExhGQRe9dxt,Lay Low,Tiësto,Lay Low,2023-01-06,153442,75,0.555,0.884,1,-4.424,0,0.213,0.0645,8.18e-05,0.349,0.42,121.906
13,22dUzMFttcR3uU17NcOAIv,Desire (with Sam Smith),"Calvin Harris, Sam Smith",Desire (with Sam Smith),2023-07-28,179161,78,0.587,0.924,11,-5.433,0,0.0457,0.0311,0.0171,0.23,0.509,140.009
14,46Tjel8UJ2nR0uFgXkT9Y7,Like A G6 (with Naeleck),"Timmy Trumpet, POLTERGST, Naeleck",Like A G6 (with Naeleck),2024-05-10,148751,70,0.54,0.965,3,-5.008,1,0.211,0.0289,0.0108,0.324,0.281,145.059
15,4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),"David Guetta, Bebe Rexha",I'm Good (Blue),2022-08-26,175238,87,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04
16,2Iks5m5CbOIjgOq129erIA,Flashback,"Cartoon, Jéja, Elina Born",Flashback,2023-06-16,146206,57,0.606,0.767,7,-4.367,1,0.0329,0.00809,0.0814,0.102,0.169,173.953
17,17NHXI2CJp7KgdcwcDnRx4,Boyz In Paris (with VINAI),"Marnik, Naeleck, VINAI",Boyz In Paris (with VINAI),2023-07-28,151589,77,0.628,0.967,1,-4.068,1,0.0485,0.0398,4.67e-05,0.274,0.399,149.036
18,1cQld05IcUDw3RCFt7uymW,Be The One,Eli Brown,Be The One,2023-03-31,169852,71,0.651,0.932,0,-5.074,1,0.0419,0.0053,0.156,0.104,0.578,135.98
19,6YSpHC2T6TyelO5TVeWQHA,House Of Cards,"Naeleck, Coopex, Sarah de Warren",House Of Cards,2024-05-31,132522,52,0.434,0.906,5,-1.494,1,0.0766,0.00294,0.0,0.298,0.121,145.046
20,2yc8VXAhrtTOGUd4hAdtaO,The Devil's Got A Deal,22Bullets,The Devil's Got A Deal,2023-11-24,211086,45,0.608,0.935,2,-3.333,0,0.0387,0.116,0.0119,0.164,0.217,124.015
21,59NraMJsLaMCVtwXTSia8i,Prada,"cassö, RAYE, D-Block Europe",Prada,2023-08-11,132359,86,0.638,0.717,8,-5.804,1,0.0375,0.001,1.79e-06,0.113,0.422,141.904
22,1ZllVsYbtK2IC2ks1PIy1H,Kabuki,"Naeleck, Oddity",Kabuki,2023-09-22,172137,54,0.527,0.892,0,-3.38,1,0.0422,0.00233,0.862,0.192,0.0714,144.971
23,7fZBQnc0zXwVybgCIrQQil,Belly Dancer,"Imanbek, BYOR",Belly Dancer,2022-02-18,151475,79,0.845,0.797,1,-4.984,1,0.139,0.0582,5.57e-06,0.167,0.422,121.985
24,41TkFhNYljV7omolLJ6Squ,Creep - BYOR Remix,"Naeleck, Haley Reinhart, BYOR",Creep (BYOR Remix),2022-09-16,156850,66,0.696,0.775,6,-6.539,1,0.0388,0.00393,0.104,0.378,0.435,126.979
25,6WkJ2OK163XXS2oARUC9JM,Dancin (feat. Luvli) - Krono Remix,"Aaron Smith, Krono, Luvli",Dancin (feat. Luvli) [Krono Remix],2014-11-07,198053,74,0.72,0.741,10,-6.529,0,0.0287,0.101,1.41e-05,0.289,0.357,119.896
26,5f1umYAaM6U1CoNZnpNA8e,Over Me,"Rudeejay, Flakkë, Nino Lucarelli",Over Me,2023-09-01,158540,43,0.728,0.934,8,-3.59,0,0.0439,0.00958,0.00139,0.0449,0.683,126.002
27,0mZFBV9kO5a9DmzV16j9IA,Time Machine (with MSPUIYI),"Gammer, Naeleck, MSPUIYI",Time Machine (with MSPUIYI),2023-11-24,147310,51,0.65,0.938,2,-3.378,0,0.0367,0.0467,0.00077,0.398,0.188,144.983
28,73rh3AJNXQl8iMWgWRrQTR,Lioness,"Swedish House Mafia, Niki & The Dove",Lioness,2024-06-07,172515,74,0.515,0.667,9,-5.188,1,0.199,0.0246,0.0015,0.107,0.192,127.948
29,3BKD1PwArikchz2Zrlp1qi,Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",Baby Don't Hurt Me,2023-04-06,140017,84,0.602,0.91,7,-3.404,1,0.0308,0.00126,0.000174,0.12,0.228,127.944
30,0xHa5i0AfY6SWBoSQDnMFA,Solo,"AXON :), Tima Dee",Solo,2024-04-26,171433,2,0.719,0.958,5,-3.374,0,0.0453,0.0223,0.712,0.321,0.777,125.981
31,5ZAb84rDpFVMgFhYNYZhSx,Wherever You Are,"Sugar Jesus, Felix Samuel, Dayrunnrs",Wherever You Are,2024-06-06,160645,54,0.629,0.87,7,-5.418,0,0.0406,0.0162,0.127,0.263,0.329,123.996
32,0rMuFOja3DhVSuXQeae25C,Sleep,"ConKi, Rolipso, Runforrest",Sleep,2023-06-01,178235,64,0.674,0.815,7,-6.501,0,0.0334,0.00246,0.000435,0.094,0.204,132.032
33,35Vnov9yP4UAt5zHr6iQCA,Lilith,"Naeleck, BIGMOO, Paul Keen",Lilith,2023-10-13,179199,56,0.513,0.854,2,-3.692,1,0.137,0.00219,0.00034,0.252,0.125,150.17
34,0UGiMc3qDemvGKsj0jJAy3,La Musique,"Brett Allen, HΛNNΛH X",La Musique,2024-03-22,142285,45,0.673,0.879,6,-5.375,0,0.14,0.00219,0.0101,0.338,0.328,140.021
35,5xKJI9aPQhuTdTq8BrJ8fL,Ferrari,"James Hype, Miggy Dela Rosa",Ferrari,2022-03-15,185661,23,0.844,0.688,1,-7.879,0,0.049,0.0129,5.39e-05,0.0492,0.695,124.992
36,2vJwO7KW4IbEGo9OOjt7Rl,Zouka,"DAMIANO, Bang La Decks",Zouka,2024-06-07,215322,37,0.718,0.739,5,-6.674,1,0.0435,0.0243,0.875,0.121,0.151,124.014
37,2XLfSBAZGQgVh8wovaetaj,Kingdom Party (with Naeleck),"Alfons, Naeleck",Kingdom Party (with Naeleck),2023-10-06,167846,43,0.481,0.68,10,-5.879,0,0.144,0.109,0.0,0.663,0.308,130.647
38,37xIgCCeBjCFahVifaJTf9,Dancing Alone,"Mangoo, EUROBEAT, Rumor",Dancing Alone,2023-03-24,172500,41,0.767,0.739,6,-6.454,0,0.0374,0.11,0.000307,0.0872,0.454,127.979
39,18asYwWugKjjsihZ0YvRxO,The Motto,"Tiësto, Ava Max",The Motto,2021-11-04,164818,74,0.754,0.763,7,-4.627,0,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953
40,1FYRNQ6JeFidJMtwfLamQJ,I Like the Way you Kiss me - Techno Remix,"Bombs Away, Kratos",I Like the Way you Kiss me (Techno Remix),2024-04-19,136615,59,0.586,0.962,8,-3.349,0,0.256,0.0141,5.86e-05,0.327,0.539,150.068
41,4ntwMws17qmbQUI1NemGqd,Seven Nation Army,"DJ Fluke, Jaki Nelson",Seven Nation Army,2021-01-22,156309,68,0.689,0.832,4,-4.248,0,0.0443,0.00694,0.11,0.0885,0.276,125.97
42,3bK1zVFBKIzYjmptmI4NsJ,Overdrive (feat. Norma Jean Martine),"Ofenbach, Norma Jean Martine",Overdrive (feat. Norma Jean Martine),2023-10-06,155905,83,0.611,0.757,6,-3.546,1,0.03,0.00257,0.0,0.058,0.279,126.963
43,1eBqXCKEhVkjh4xc0X9Nak,Before You Go,"Rudeejay, Blackcode, David Allen",Before You Go,2024-06-28,160615,27,0.482,0.88,6,-4.89,1,0.088,0.00187,0.000584,0.284,0.369,127.997
44,7sgvwMVqZB2QQaOr03K3l4,Nord Try,Tom Enzy,Nord Try,2023-05-19,188160,38,0.726,0.809,11,-7.487,1,0.0572,0.00821,0.702,0.281,0.351,124.997
45,3qtvBIookV0prgu6LUHUEn,Lies,"DJ Fluke, mavzy grx, SBSTN",Lies,2024-06-21,130476,36,0.625,0.92,7,-5.178,0,0.0806,0.0192,0.0,0.162,0.173,124.021
46,2PqNXwl0DmZWUgiYvumEAJ,Rakata Rakata,CASHEW,Rakata Rakata EP,2023-07-21,218880,43,0.806,0.915,1,-5.78,1,0.0551,0.00202,0.787,0.325,0.518,125.013
47,586UQta4cAtG4SGNyHgLsR,Creator,EchoStorms,Creator,2023-04-21,168000,43,0.807,0.893,11,-6.863,1,0.0828,0.0206,0.495,0.0982,0.615,129.977
48,3xoooqVJ6Mw0vQSKuRmj2r,Love Is Killing Me,"NORII, CIGMA",Love Is Killing Me,2024-02-16,140625,43,0.508,0.935,7,-4.823,1,0.0467,0.00339,5.05e-06,0.371,0.213,127.96
49,5soreCTzJxbj3gWTxMKzsA,To Make It Right,"Remady, Gabriel Benedek",To Make It Right,2024-05-17,139322,44,0.761,0.802,9,-5.939,0,0.0603,0.129,0.000145,0.287,0.583,111.993
50,2GE3k8I0Sbh0puCjI15KGy,Barcelona,"Alan Walker, Ina Wroldsen",Barcelona,2024-06-13,205086,71,0.645,0.89,6,-4.985,1,0.128,0.259,9.38e-06,0.376,0.421,126.881
51,0RgUxB0pyyzPm5apCmBnHZ,Tu Es Foutu,"ConKi, B.R.T, NAJA",Tu Es Foutu,2022-09-15,123903,59,0.787,0.615,11,-10.815,1,0.0975,0.0895,0.0101,0.0799,0.43,130.008
52,2vtXpXdZ0DSZokARFx2uXH,Good 4 Me,"Flakkë, Sammy Boyle, JKLN",Good 4 Me,2023-01-13,156142,47,0.671,0.674,2,-8.785,1,0.0336,0.00315,0.0316,0.211,0.36,127.002
53,3q2EghgEtxhAkWMV1dqLr7,Another Life,"EchoStorms, Yasmin Jane",Another Life,2023-09-29,202378,38,0.632,0.968,2,-3.221,0,0.0437,0.0156,0.00455,0.0365,0.34,127.946
54,3AvY1xeBm6Mck6B7lqAQ86,Let it Be,Valy Mo,Let it Be,2024-05-17,184864,46,0.538,0.932,9,-5.762,0,0.0493,0.00571,0.000625,0.155,0.0697,124.969
55,5O3W2bIWn4GmPH6l8Qh7Bi,Everyone Nose,"Brett Allen, Bombs Away",Everyone Nose,2023-10-20,142456,42,0.626,0.98,11,-3.85,1,0.04,0.00275,0.192,0.0378,0.0657,127.962
56,31nfdEooLEq7dn3UMcIeB5,Vois sur ton chemin - Techno Mix,BENNETT,Vois sur ton chemin (Techno Mix),2023-08-04,178156,83,0.634,0.824,2,-3.394,0,0.047,0.0908,0.0711,0.119,0.371,137.959
57,6p0w8fIsPUNk6kVHCxNqvn,Neurose 2.0,Flakkë,Neurose 2.0,2023-06-23,146250,47,0.795,0.944,1,-4.307,1,0.0674,0.0508,0.687,0.0739,0.875,127.992
58,0aOFLVzkfXPuh8j8v3sShe,Let It Go,"ConKi, Rolipso, Shiah Maisel",Let It Go,2023-02-16,168000,58,0.535,0.683,1,-9.903,1,0.0492,0.0327,0.000225,0.309,0.119,121.02
59,1bgKMxPQU7JIZEhNsM1vFs,Words (feat. Zara Larsson),"Alesso, Zara Larsson",Words (feat. Zara Larsson),2022-04-22,142677,76,0.739,0.586,10,-5.079,0,0.0472,0.0245,0.000252,0.308,0.444,124.026
60,5LOTtadWBsGDLMQMC0tl2z,Life,ConKi,Life,2024-04-08,130000,65,0.607,0.817,0,-5.839,0,0.0485,0.13,1.75e-05,0.56,0.338,112.052
61,1tX9PAc8rY902IdX8Mh48R,Wildfire,"DJ Sammy, Achilles, Beks",Wildfire,2024-02-02,163913,44,0.637,0.942,9,-4.522,0,0.0736,0.00168,0.0351,0.159,0.372,138.043
62,0J2kOteMcPfbhfBMQssigd,Sugar Baby,"Plastik Funk, Broz Rodriguez, Tara Mcdonald",Sugar Baby,2022-09-23,159360,38,0.863,0.826,6,-3.807,0,0.106,0.111,0.0499,0.0736,0.723,125.037
63,2prnn41CblB8B4yWACDljP,Love Tonight (David Guetta Remix Edit),"Shouse, David Guetta",Love Tonight (David Guetta Remix),2021-06-11,158095,75,0.621,0.989,10,-4.225,0,0.0434,0.015,0.357,0.184,0.0348,126.002
64,6zSpb8dQRaw0M1dK8PBwQz,Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",Cold Heart (PNAU Remix),2021-08-13,202735,81,0.796,0.798,1,-6.312,1,0.0317,0.034,4.19e-05,0.0952,0.942,116.032
65,41dDimzwq2o0r6E60Pp3dh,Runaway,Julian Cross,Runaway,2023-10-13,176222,48,0.616,0.741,10,-5.347,0,0.0545,0.0178,3.04e-06,0.059,0.57,127.992
66,2USlegnFJLrVLpoVfPimKB,Thunder,"Gabry Ponte, LUM!X, Prezioso",Thunder,2021-05-07,160000,78,0.67,0.896,1,-4.673,1,0.058,0.0342,3.21e-05,0.344,0.403,101.216
67,371XpPv4N3cxaFrxelCzW2,Deadfellaz,"Jéja, Zaug",Deadfellaz,2023-06-09,150501,37,0.745,0.781,0,-5.442,1,0.243,0.0793,0.00139,0.485,0.479,124.065
68,1ApF7E8J0oUxL2qIo08TVd,Boomerang,"Diego Miranda, Kom",Boomerang,2023-09-15,134769,37,0.524,0.965,5,-3.496,1,0.0571,0.00085,0.917,0.695,0.0871,129.944
69,7ClzJE519FxZeSp2UoTZvt,Sad Love (feat. JAIKO),"Kayote, Bastyan, JAIKO",Sad Love (feat. JAIKO),2024-05-08,161803,55,0.793,0.519,7,-10.69,0,0.0756,0.147,0.0138,0.0846,0.0683,121.943
70,6GpezGZZBNJOaJiAfDz3pZ,Higher Power,"Madism, RYVM",Higher Power,2024-05-03,159230,62,0.698,0.808,11,-5.534,0,0.0805,0.0196,0.0,0.303,0.729,130.007
71,0iRfffwrWG4TfNc65SpxDm,Sweet Child O' Mine,"The FifthGuys, Invisible, The Late Night Project",Sweet Child O' Mine,2022-04-01,163204,45,0.754,0.664,6,-7.247,1,0.0484,0.0216,6.51e-06,0.0612,0.395,125.068
72,0Yv5b5zk4aOsS5CDQaPE0J,Dry,"GISHIN, AmanderSings",Dry,2022-04-15,171176,36,0.614,0.881,11,-3.935,0,0.0404,0.00291,0.000105,0.185,0.584,149.955
73,7ydf1R7Gvp27PGheUUCe92,Open Your Eyes,"Jay Eskar, ILSE",Open Your Eyes,2023-10-20,180000,35,0.606,0.819,1,-3.357,1,0.0915,0.203,9.6e-06,0.272,0.303,100.068
74,4RoS83AH7BDxKxWS1wIFMR,Heaven,"Achilles, DEADLINE, Jordan Grace",Heaven,2023-05-05,174720,39,0.647,0.867,7,-6.201,1,0.0454,0.0333,0.00313,0.354,0.0862,125.001
75,1h54366McXSNcici2LAiZP,Smells Like Teen Spirit,"Naeleck, Coopex, Duncán, Nito-Onna",Smells Like Teen Spirit,2023-12-15,160758,63,0.663,0.882,6,-3.022,0,0.0484,0.0456,0.0179,0.415,0.217,145.003
76,5KMGTn0IzDdnshf1XhPKgI,Living On The Road,"VARGENTA, Azaro, MITCH DB",Living On The Road,2023-08-24,137245,33,0.717,0.909,6,-5.141,0,0.295,0.112,2.89e-05,0.201,0.454,139.979
77,1dt220OBbkTsYz1NLVKIaw,Call Me (with R3HAB & Timmy Trumpet),"Gabry Ponte, R3HAB, Timmy Trumpet",Call Me (with R3HAB & Timmy Trumpet),2022-01-14,178309,64,0.398,0.956,2,-4.429,1,0.329,0.00935,0.0038,0.142,0.269,106.581
79,10oKSzRcwbZsog2uq2gb4b,Escape (feat. Hayla),"Kx5, deadmau5, Kaskade, HAYLA",Escape (feat. Hayla),2022-03-11,240445,16,0.66,0.799,9,-6.934,0,0.0719,0.179,0.000364,0.701,0.148,126.08
80,3NcNKoNicPbINhaBpYyz74,Dynamite,"GISHIN, Blosso",Dynamite,2024-06-07,172800,39,0.487,0.925,4,-2.978,0,0.119,0.0044,3.56e-06,0.627,0.526,150.078
81,20on25jryn53hWghthWWW3,Do It To It,"ACRAZE, Cherish",Do It To It,2021-08-20,157890,77,0.854,0.806,11,-8.262,0,0.0886,0.0209,0.0542,0.0703,0.637,124.927
82,7CEIFwLf4XmFz8okORSizE,Creep,"Naeleck, Haley Reinhart",Creep,2022-06-03,203225,54,0.615,0.829,6,-4.567,1,0.0421,0.0555,0.00156,0.426,0.0754,124.013
83,61p7JH9L1xZvU6ioJeN2zJ,SURVIVOR,"Umur Anil Gokdag, Ascence",SURVIVOR,2023-06-19,138798,57,0.619,0.803,4,-6.106,1,0.193,0.357,0.0,0.502,0.496,127.967
84,0PoZibVGbZGNI9zyFQ8N2U,Drop It Like It's Hot,"CryJaxx, The FifthGuys, Justtjokay",Drop It Like It's Hot,2022-02-04,203769,49,0.713,0.955,2,-2.646,1,0.227,0.054,2.32e-06,0.4,0.535,96.001
85,7eJM35OWrcSG6guQoPAFb2,Rising Sun,"MSPUIYI, Krimsonn, DJ Shadow Dubai",Rising Sun,2024-02-23,166488,41,0.519,0.773,6,-6.856,0,0.0567,0.0275,0.00254,0.103,0.281,141.922
86,7fHfD4yeKbzk2a7i5kEPBq,Smooth Criminal,CHENDA,Smooth Criminal,2021-09-03,184683,45,0.552,0.829,5,-2.71,0,0.076,0.0103,0.0,0.107,0.362,74.976
87,02QqAvBY3o3SCoMM2u09R2,Dangerous - Radio Version,"GISHIN, Weaver",Dangerous,2024-02-23,255264,40,0.418,0.914,2,-1.943,0,0.0432,0.000708,0.000221,0.165,0.123,169.908
88,3LY6yLTmsY7T7Ld69fDKGI,Somewhere Only We Know - Sped Up Version,"Umur Anil Gokdag, sped up kid",Somewhere Only We Know (Sped Up Version),2023-11-30,113562,45,0.698,0.658,10,-7.421,1,0.0453,0.111,0.00129,0.148,0.444,129.957
89,7MIhUdNJtaOnDmC5nBC1fb,Deep Down (feat. Never Dull),"Alok, Ella Eyre, Kenny Dope, Never Dull",Deep Down (feat. Never Dull),2022-06-17,165752,80,0.687,0.818,0,-4.221,1,0.0778,0.0112,0.0,0.248,0.886,125.952
90,2XucXZBa0G3O44Z7dbrl0z,Do 4 Love,Julian Cross,Do 4 Love,2024-05-17,134587,55,0.631,0.852,5,-4.517,1,0.0575,0.0166,0.000906,0.128,0.259,129.048
91,24Yi9hE78yPEbZ4kxyoXAI,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),2019-10-09,176840,77,0.77,0.724,8,-5.484,1,0.0495,0.0167,0.0107,0.353,0.898,121.975
92,2gpWyfu7eZ01zzncHpxOtA,Moth To A Flame (with The Weeknd),"Swedish House Mafia, The Weeknd",Moth To A Flame,2021-10-22,234000,13,0.542,0.659,8,-7.289,1,0.0389,0.00279,0.0,0.105,0.109,120.122
93,4SL2iWHt3azgITI04G5NpY,Your Love (9PM),"ATB, Topic, A7S",Your Love (9PM),2021-01-15,150052,59,0.669,0.784,7,-5.603,1,0.112,0.194,6.28e-06,0.115,0.517,125.993
94,0PoXLtD1teRqiXcuOCPj6k,Heartbeat,Kozah,Heartbeat,2024-04-19,193684,39,0.518,0.854,9,-3.391,0,0.044,0.000186,0.144,0.18,0.0964,113.992
95,366S9c0rQtvrkclcCSRNmB,"Disease - KATFYR ""Tokyo Bound"" Remix","Naeleck, Oddity",Disease,2013-09-16,288867,45,0.677,0.926,0,-3.307,1,0.0456,0.00298,0.507,0.337,0.108,128.014
96,02itaCXOdC54J0ISjqqFAp,All Around The World (La La La),"R3HAB, A Touch Of Class",All Around The World (La La La),2019-04-05,147840,72,0.733,0.859,9,-5.03,0,0.033,0.479,0.0645,0.105,0.52,124.948
97,2gAhkVqQhMw5w80uTOzXSX,Believe,"The Late Night Project, WCKiD, Aeria",Believe,2022-07-01,211500,35,0.444,0.827,7,-6.75,0,0.109,0.281,1.58e-05,0.0933,0.267,160.042
98,4h6Qpm1WVrktTvNIFLkom3,Rattle Shake,MahyaaR,Rattle Shake,2023-03-03,151933,41,0.698,0.666,6,-4.432,0,0.0994,0.005,0.389,0.101,0.375,127.957
99,5o1Wh7zoAAbTE6E9g4bsKo,Easy to Love,"NORII, CIGMA",Easy to Love,2023-08-25,220800,35,0.643,0.868,1,-7.217,0,0.0473,0.0218,0.157,0.098,0.0722,125.007
100,0E9ZjEAyAwOXZ7wJC0PD33,In My Mind,"Dynoro, Gigi D'Agostino",In My Mind,2018-06-08,184560,79,0.694,0.77,6,-5.335,1,0.149,0.176,1.1e-05,0.118,0.163,125.905
101,3rgTS3933lMWoPiN6CW4qY,Kids (feat. MKLA),"KSHMR, Stefy De Cicco, MKLA",Kids (feat. MKLA),2020-08-14,184687,63,0.744,0.866,9,-4.834,1,0.106,0.0107,0.0537,0.528,0.302,128.027
102,6ft4hAq6yde8jPZY2i5zLr,Paradise (feat. Dermot Kennedy),"MEDUZA, Dermot Kennedy",Paradise,2020-10-30,167903,68,0.632,0.595,8,-7.644,0,0.0401,0.0689,0.0,0.209,0.435,124.114
103,42f6tPhe1vklWgHkX20WqR,Bling,"Jenil, Friendz By Chance",Bling,2021-11-05,144000,35,0.741,0.879,11,-5.421,1,0.0508,0.0185,0.0789,0.367,0.729,124.974
104,0b18g3G5spr4ZCkz7Y6Q0Q,Rasputin,"Majestic, Boney M.",Rasputin,2021-02-26,186209,77,0.758,0.913,6,-2.926,0,0.113,0.00364,6.92e-05,0.193,0.658,128.04
105,6pYfXYZrfOeNpTU7rYyx3N,Smoke On The Water,"The FifthGuys, DiFi, Invisible",Smoke On The Water,2022-10-07,151000,45,0.689,0.853,7,-6.325,1,0.0421,0.00621,0.000283,0.291,0.434,119.97
106,4cG7HUWYHBV6R6tHn1gxrl,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Mufasa, Dopamine",Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],2021-01-15,169153,76,0.824,0.862,2,-3.424,1,0.126,0.0076,0.000132,0.303,0.801,122.98
107,17A2kFpfeB4Vzk2hwY3CZD,Away - BYOR Remix,"Valy Mo, BYOR",Away (BYOR Remix),2022-02-25,156205,37,0.76,0.94,6,-5.09,1,0.0695,0.00216,0.141,0.0747,0.574,126.016
108,0YU17F0BlVXvmx5ytsR43w,Monster,"LUM!X, Gabry Ponte",Monster,2019-04-19,154226,69,0.83,0.794,8,-6.279,0,0.432,0.0253,0.0248,0.106,0.607,128.16
109,2WFHR1yWR1GBkdr9OxGOaB,Hall Of Fame,"PHARAØH, EQRIC, Clayton Jones",Hall Of Fame,2022-02-11,177904,55,0.523,0.951,7,-2.945,0,0.264,0.29,0.0,0.241,0.692,169.965
110,3zE1xP8M8xP0aq4BeLdyrI,Dark is All I See,"Naeleck, Oddity, Wasiu",Dark is All I See,2021-10-29,258461,45,0.645,0.872,2,-3.19,0,0.0658,0.0159,0.000415,0.105,0.19,130.094
111,1BmkJeIhDYq9VFF5H99JKt,Think Of Dreams,Kozah,Think Of Dreams,2021-12-17,196626,36,0.517,0.797,0,-6.502,1,0.0466,0.0447,0.875,0.118,0.0613,166.009
112,4S2qrsdY4BF0T5UFQLtqoU,Boom Boom Pow,"Zafrir, AFROJACK",Boom Boom Pow,2021-03-12,185413,53,0.787,0.897,1,-2.648,1,0.0899,0.101,0.0196,0.0875,0.514,102.015
113,4vIsQb5PihLxxKzCeyXOg3,Final Boss,"Naeleck, Hige Driver",Final Boss,2021-07-30,214124,39,0.738,0.846,11,-2.546,0,0.159,0.000255,0.575,0.076,0.574,130.007
114,3uUuGVFu1V7jTQL60S1r8z,Where Are You Now,"Lost Frequencies, Calum Scott",Where Are You Now,2021-07-30,148197,77,0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966
115,5r3I7va2naJ093iv5L5OyI,Playground,Kozah,For Eternity,2022-01-14,246857,31,0.525,0.758,4,-5.034,0,0.0304,0.000121,0.859,0.13,0.107,140.016
116,36WTOBkDu9FaeqKNj9lXYC,Party Til We Die,"Wasback, Coopex, Chris Burke, Becky Smith",Party Til We Die,2024-02-02,138000,45,0.667,0.844,9,-7.723,1,0.243,0.0901,0.00355,0.557,0.71,159.942
117,6rfVmFzGplwEQ7jQI4zeSK,Gotta Do It,CASHEW,Rakata Rakata EP,2023-07-21,203520,32,0.768,0.941,10,-5.732,0,0.0477,0.0145,0.829,0.373,0.775,124.994
118,4O787OwIJun2YB5ruCCyCb,Reaching for the Moon,Achilles,Reaching for the Moon,2022-09-14,184218,36,0.614,0.936,9,-4.962,0,0.0529,0.0819,0.501,0.429,0.0391,127.997
119,1zutV6LMV87iuD8edWk3Xr,Away,Valy Mo,Away,2022-02-04,150957,36,0.803,0.793,1,-4.704,1,0.141,0.00178,0.0194,0.108,0.515,125.985
120,2ohIzZIGZGNVAWgN0J9Krh,Call Out,"The FifthGuys, Mandrazo",Call Out,2022-05-20,198400,33,0.609,0.685,11,-9.77,0,0.0649,0.0779,0.000153,0.0654,0.352,149.978
121,1Yr6vSIDldARd3NGnB6j1A,I Need Your Love,"Valy Mo, Brais",I Need Your Love,2023-07-07,169523,36,0.642,0.658,2,-9.521,0,0.0455,0.0409,0.0699,0.461,0.0399,125.993
